"actor_id","movie_id","role"
933,333856,Lewis Bodine
2547,300229,Duloc Mascot
2700,306032,Tyrone
2898,333856,Slovakian three-year-old boy
2925,192017,Additional Voices
3226,238072,Virgil Malloy
4306,194874,Mr. Valentine
4856,194874,Hans
6005,167324,Maitre D'
6990,30959,Shadow Warrior
7124,238072,Police Officer
7817,267038,Dead Floyd Wilson
7979,18979,Anchor
8161,194874,American Businessman #2
8409,238072,French High Roller
8412,238072,Guard
8426,238072,"Eddie, the High Roller Pit Bo"
9184,147603,Dad
9275,18979,Mission Controller
11489,297838,Haig (head bull)
11547,167324,Himself (glances at Maxwell T
11590,109093,Victim in the Field
11865,333856,Lookout Fredrick Fleet
12043,333856,Steerage dancer
12508,18979,Pete Conrad
12508,112290,Thomas
12987,192017,Additional Voices
13553,30959,Shadow Warrior
14741,237431,Man with Bullhorn
14973,207992,Apoc
15068,167324,Angelo
15854,124110,Karl Benson
15921,300229,Merry Man
16669,46169,Mornay
16791,18979,Himself
16844,10920,Lydecker
17326,254943,Man Delivering Suitcase
17433,267038,Man #4
17438,112290,Intern
17946,112290,BMW Salesman
18534,313459,Gold Five
18638,333856,Carpenter John Hutchinson
18826,167324,Guy Bannister
19123,207992,Rhineheart
19873,192017,Louis
20565,313459,Boba Fett (special edition)
21959,194874,Concierge
22188,297838,Con
22262,314965,Train Station Cop #1
22489,124110,Man Having Sex
22591,17173,Chip Diller
22591,18979,Jack Swigert
22591,111813,Capt. Jack Ross
22591,116907,Ren McCormack
22591,147603,Sebastian Caine
22591,167324,Willie O'Keefe
22591,224842,Sean Devine
22591,257264,Taxi racer
22591,314965,Tom Witzky
22669,237431,"George ""Babyface"" Nelson"
22723,238695,Lawrence
23488,112290,Ricky
24164,257264,Owen
24298,313459,R2-D2
24389,313459,Cantina alien
24660,192017,Atina
25103,30959,Bruce Wayne/Batman
25293,207992,Businessman
25743,276217,Marvin Nash
26018,109093,Bismarck Cop #2
26409,46169,"The Leper, Robert Bruce Sr."
28218,192017,Eric
28510,167324,Irvin F. Dymond
29603,333856,Tommy Ryan
29686,18979,Orderly
30298,344203,Noodles MacIntosh
31092,306032,Waterboy
32474,238695,Dom Portwood
32648,313459,Stormtrooper
32842,313459,Stormtrooper
32884,167324,""
33024,112290,Cop at Marla's Building
33582,306032,Neil
33865,306032,Errol
35463,297838,Youngblood (guard)
35741,297838,"Tommy Williams, Inmate 46419"
36005,17173,John 'Bluto' Blutarsky
36390,256630,Townspeople 4
36472,267038,"Long-Hair Yuppie Scum/""Zorro"""
36472,276217,Young cop (also radio play ba
36641,10920,Russ Jorden
36641,313459,Deak
37040,167324,Kenny O'Donnell (credited on 
38306,313459,Cantina alien
38626,167324,Jury Foreman
38779,18979,Himself - ABC News
38973,238072,Head Goon
39044,18979,Henry Hurt
39044,111813,Capt. Whitaker
39553,116907,Harvey
39860,18979,Virgil Grissom
41012,313459,Cantina alien
41156,300229,Bishop
41200,238695,Judge
42278,10920,Cpl. Dwayne Hicks
42960,46169,Phillip
43791,18979,Protester
43791,116907,Elvis
43802,176712,Larry Gomez
43842,17173,Charming guy with guitar
43899,300229,Merry Man
43926,167324,HImself (CIA)
43967,112290,Food Court Maitre'd
44737,30959,Court Reporter
45134,18979,GUIDO Gold
45176,224842,Cop in park
45193,313459,Greedo
45243,267038,Wilson's trainer
46035,224842,Sibling
46276,300229,Baby Bear
46793,112290,Car Salesman
47366,18979,INCO Gold
47448,111813,Lance Cpl. Harold W. Dawson
47548,109093,Mr. Mohra
47858,167324,Himself (Warren Commission)
48064,109093,Lou
48468,167324,Prisoner Powell
48468,297838,Elmo Blatch
48630,194874,German Hotel Guest
49086,238695,Initech Security Guard
49108,130128,Ottilio Cuneo
49661,17173,B.B.
49922,30959,""
49922,210511,Burt Hadley
50085,30959,Thug
50561,224842,Murder scene spectator
51588,30959,Clubber
52396,112290,Bruised Bar Patron #1
52913,111813,Cdr. Gibbs
52913,344203,Bob
52927,224842,Cop at barricade
52941,224842,Young Dave
52978,176711,Buck
53441,224842,Michael Boyle
54608,333856,Col. John Jacob Astor IV
54620,124110,Andrew Largeman
54814,30959,Joe Chill
54888,350424,Sneezy
55108,109093,Stan Grossman
55108,297838,Skeet
55174,130128,Don Vito Corleone
55263,238072,Technician #1
55349,167324,Himself (with JFK in Berlin)
55702,297838,Man missing guard
55975,256630,Marine
56160,167324,Vernon Bundy
56369,167324,"Himself (in Zapruder, Muchmor"
56513,306032,Mullet
57184,167324,Himself (behind Khrushchev)
57333,167324,Dr. Peters
57631,130128,Al Neri
57665,333856,Quartermaster Robert Hitchens
57830,167324,Roy Truly (credited on Direct
58327,116907,Mayor Dooley
58481,344203,Uncle Harvey
58566,224842,Medical Examiner
58775,147603,Matthew Kensington
58871,224842,Detective
59227,276217,Holdaway
59323,297838,Parole hearings man (1967)
59824,297838,Capt. Byron Hadley
60384,313459,Uncle Owen
60612,350424,Barman
61441,18979,Anchor
62520,167324,HImself (with JFK in Fort Wor
62556,306032,Gary
63432,344203,Band: Keyboard
63521,167324,Pathologist #2
63695,276217,Mr. Blue
63813,30959,Shadow Warrior
64724,313459,Wuher
64793,124110,Dave
65536,109093,Carl Showalter
65536,267038,Buddy Holly
65536,276217,Mr. Pink
65966,207992,Cop Who Captures Neo
66328,333856,Musician/baker
66495,112290,Inspector Dent
66776,333856,Stairwell steward
66791,313459,General Willard
66825,46169,Smythe
67492,130128,Santino 'Sonny' Corleone
67493,238072,Turk Malloy
67598,167324,"Himself (Deputy Director, CIA"
67599,167324,Himself (Dallas mayor)
67954,344203,Crazy Ernie
68048,111813,Luther
68424,30959,Alfred Pennyworth
68754,267038,Paul
68858,238072,Man in Casino
69186,344203,Conan the Librarian
69902,300229,Pinocchio/Three Pigs
69940,333856,Cameo appearance (steerage da
70137,192017,Additional Voices
70282,109093,Soap Opera Actor
70588,306032,Bouncer
70744,333856,Second-class man
71116,167324,Dean Andrews
71116,257264,Del Griffith
71699,306032,Liam
71767,306032,Charlie
